id,timing_type,time_of_day,food_bev_density,food_bev_pop_score,access_density,access_pop_score,lodging_density,lodging_pop_score,average_income_zip,population_zip,median_age_zip,event_type,target_audience,event_mood_energy,freebies_included,is_weekend,price
058f7cf7,Single-Day,Night,29.0,4.35144210960033,25.0,3.70625,40.0,4.33852019203615,196571.0,28705,40.8,Performing & Visual Arts,Young Adults (18 to 30),Educational,No,0,180.0
9698a992,Single-Day,Evening,80.0,4.54286979908242,41.0,3.7948275862069,40.0,3.98152436082972,108691.0,56333,37.4,Food & Drink,Adults / Professionals (25 to 45),Relaxed,No,1,64.8
b4ffe604,Single-Day,Night,80.0,4.54307543913088,33.0,3.73258426966292,40.0,4.58710374639769,157143.0,40108,38.4,Spirituality,Adults / Professionals (25 to 45),Educational,Yes,1,423.34
5efff707,Single-Day,Evening,80.0,4.54286979908242,41.0,3.7948275862069,40.0,3.98152436082972,108691.0,56333,37.4,Business,Adults / Professionals (25 to 45),Professional,No,0,107.48
02982b78,Single-Day,Afternoon,52.0,3.76872656122615,30.0,3.98376623376623,40.0,3.11020541245517,90572.0,39250,39.8,Food & Drink,Adults / Professionals (25 to 45),High-Energy,Yes,1,55.2
eae7eda4,Single-Day,Afternoon,80.0,3.9908534688375,31.0,3.70294117647059,40.0,4.06894841269841,54211.0,69131,34.0,Food & Drink,Young Adults (18 to 30),High-Energy,No,1,65.87
72b587a2,Single-Day,Evening,80.0,4.31587757054041,31.0,4.25706214689266,40.0,4.49346405228758,79136.0,47183,32.6,Community,Young Adults (18 to 30),Relaxed,No,0,27.84
28788b35,Single-Day,Afternoon,80.0,3.9908534688375,31.0,3.70294117647059,40.0,4.06894841269841,54211.0,69131,34.0,Food & Drink,Young Adults (18 to 30),High-Energy,No,1,135.23
bcecce48,Single-Day,Evening,80.0,4.31587757054041,31.0,4.25706214689266,40.0,4.49346405228758,79136.0,47183,32.6,Community,Young Adults (18 to 30),Relaxed,No,0,27.84
3029c872,Single-Day,Evening,80.0,4.31587757054041,31.0,4.25706214689266,40.0,4.49346405228758,79136.0,47183,32.6,Community,Young Adults (18 to 30),Relaxed,Yes,0,25.24
3c7b765b,Single-Day,Evening,80.0,4.31587757054041,31.0,4.25706214689266,40.0,4.49346405228758,79136.0,47183,32.6,Community,Young Adults (18 to 30),Relaxed,No,0,27.84
235f4000,Single-Day,Evening,80.0,4.31587757054041,31.0,4.25706214689266,40.0,4.49346405228758,79136.0,47183,32.6,Community,Young Adults (18 to 30),Relaxed,No,0,46.67
98330195,Single-Day,Evening,80.0,4.31587757054041,31.0,4.25706214689266,40.0,4.49346405228758,79136.0,47183,32.6,Community,Young Adults (18 to 30),Relaxed,No,0,30.44
19eda8d3,Single-Day,Afternoon,23.0,4.39654248843438,20.0,3.0,40.0,3.4,84855.0,40331,36.8,Charity & Causes,Adults / Professionals (25 to 45),Relaxed,Yes,1,28.52
77773329,Single-Day,Evening,80.0,4.31587757054041,31.0,4.25706214689266,40.0,4.49346405228758,79136.0,47183,32.6,Community,unknown,Relaxed,No,0,33.33
7011f6dc,Multi-Day,Evening,80.0,4.24470553617218,44.0,3.87628947368421,40.0,4.17064473875709,102287.0,30930,39.3,Business,Adults / Professionals (25 to 45),Professional,No,0,27.72
cc020f74,Single-Day,Afternoon,80.0,4.31587757054041,31.0,4.25706214689266,40.0,4.49346405228758,79136.0,47183,32.6,Community,Young Adults (18 to 30),High-Energy,No,1,20.87
93524619,Single-Day,Afternoon,62.0,3.86796185935638,35.0,3.8301775147929,40.0,2.6,68006.0,78506,42.3,Music,Young Adults (18 to 30),High-Energy,No,1,28.52
6ce5721b,Single-Day,Evening,80.0,4.14515140671825,41.0,3.45516403402187,40.0,3.79008294594841,113335.0,42766,41.4,Community,Adults / Professionals (25 to 45),Relaxed,No,0,60.0
479dd115,Single-Day,Afternoon,80.0,4.43373854378819,40.0,3.47190082644628,40.0,4.45526237476441,113946.0,45087,30.2,Food & Drink,Young Adults (18 to 30),High-Energy,No,1,44.52
6b84f0aa,Single-Day,Afternoon,80.0,4.31587757054041,31.0,4.25706214689266,40.0,4.49346405228758,79136.0,47183,32.6,Community,Young Adults (18 to 30),Relaxed,No,1,13.48
106dd297,Single-Day,Evening,80.0,4.44673274240161,41.0,2.83405483405483,40.0,4.38286252354049,150288.0,32410,35.8,Charity & Causes,Adults / Professionals (25 to 45),Formal,Yes,0,188.58
eb7bd7a8,Single-Day,Afternoon,80.0,3.99685428024164,31.0,3.26269592476489,40.0,4.21318752010293,79599.0,28137,35.5,Food & Drink,Adults / Professionals (25 to 45),Relaxed,Yes,1,113.89
10455f43,Single-Day,Evening,80.0,4.2738168849237,43.0,3.95349143610013,40.0,3.83410380622837,149118.0,8659,33.2,Business,Adults / Professionals (25 to 45),Professional,No,0,23.18
e3f65f4e,Single-Day,Afternoon,80.0,3.99685428024164,31.0,3.26269592476489,40.0,4.21318752010293,79599.0,28137,35.5,Community,Young Adults (18 to 30),High-Energy,Yes,1,23.18
82986cc6,Single-Day,Evening,80.0,4.56492459658005,41.0,3.2974269005848,40.0,4.23671866477583,145934.0,50772,42.5,unknown,unknown,unknown,No,0,30.0
d1c316f7,Multi-Day,Night,80.0,4.26614395066979,44.0,3.67355450236967,40.0,4.31884107082345,165235.0,53237,34.4,unknown,unknown,unknown,No,1,33.85
b5935526,Single-Day,Evening,80.0,4.31587757054041,31.0,4.25706214689266,40.0,4.49346405228758,79136.0,47183,32.6,Community,unknown,unknown,Yes,0,27.84
a0aefd48,Single-Day,Afternoon,80.0,4.33058238148929,40.0,3.92413793103448,40.0,3.95071748878924,43362.0,76518,44.2,Music,Young Adults (18 to 30),High-Energy,No,1,33.85
b0715449,Single-Day,Evening,80.0,4.25891787930471,41.0,3.93010858835143,40.0,4.33641601271481,152735.0,43045,35.8,Hobbies,Teens / High School Students,Educational,No,1,165.0
c00d3f31,Single-Day,Evening,80.0,4.33373398215734,40.0,4.65151798849806,41.0,3.96625229264316,161236.0,33586,48.6,Community,Young Adults (18 to 30),Relaxed,No,0,22.94
60561cce,Single-Day,Evening,80.0,4.38112550763875,40.0,3.50172413793103,40.0,3.84222591976336,151468.0,65706,43.0,Music,Adults / Professionals (25 to 45),Relaxed,No,0,21.05
3066692c,Single-Day,Evening,80.0,4.31270178533248,41.0,3.77660550458716,40.0,4.30792733278282,126890.0,21216,34.8,Music,Adults / Professionals (25 to 45),High-Energy,No,1,25.95
18e610d3,Single-Day,Evening,80.0,4.38112550763875,40.0,3.50172413793103,40.0,3.84222591976336,151468.0,65706,43.0,Performing & Visual Arts,Adults / Professionals (25 to 45),Formal,Yes,1,106.42
447fdfc5,Single-Day,Evening,80.0,4.33373398215734,40.0,4.65151798849806,41.0,3.96625229264316,161236.0,33586,48.6,Community,Young Adults (18 to 30),High-Energy,No,1,23.18
bc0e0f11,Multi-Day,Evening,80.0,4.30834596522515,40.0,2.91931216931217,41.0,4.12168080489248,150675.0,29453,40.2,Community,Young Adults (18 to 30),High-Energy,Yes,0,17.85
8bb50d5e,Single-Day,Evening,80.0,4.2738168849237,43.0,3.95349143610013,40.0,3.83410380622837,149118.0,8659,33.2,Food & Drink,Adults / Professionals (25 to 45),Educational,No,1,64.8
862a8fb9,Single-Day,Evening,80.0,4.31270178533248,41.0,3.77660550458716,40.0,4.30792733278282,126890.0,21216,34.8,Music,Young Adults (18 to 30),High-Energy,No,0,22.18
673dd3bd,Multi-Day,Evening,80.0,4.24470553617218,44.0,3.87628947368421,40.0,4.17064473875709,102287.0,30930,39.3,Music,Adults / Professionals (25 to 45),High-Energy,No,1,65.87
6556ba54,Multi-Day,Night,80.0,4.33058238148929,40.0,3.92413793103448,40.0,3.95071748878924,43362.0,76518,44.2,Travel & Outdoor,Young Adults (18 to 30),High-Energy,No,1,33.56
6af16e51,Single-Day,Evening,80.0,4.30875737757218,40.0,4.68056176634992,41.0,4.08370764381403,139964.0,14486,41.2,Food & Drink,Young Adults (18 to 30),Educational,No,1,64.8
591ef52a,Single-Day,Afternoon,80.0,4.52809762291035,41.0,3.32421652421652,40.0,4.18744994994995,147267.0,29461,39.8,Food & Drink,Young Adults (18 to 30),Relaxed,Yes,1,119.09
ceb042fd,Single-Day,Evening,80.0,4.56492459658005,41.0,3.2974269005848,40.0,4.23671866477583,145934.0,50772,42.5,Food & Drink,Adults / Professionals (25 to 45),Educational,No,0,64.8
3581df8c,Single-Day,Evening,80.0,4.24059732853069,41.0,3.38940594059406,40.0,4.02940698619009,163310.0,69755,35.1,Music,unknown,Relaxed,Yes,1,108.55
dcfaf8da,Single-Day,Evening,80.0,4.30875737757218,40.0,4.68056176634992,41.0,4.08370764381403,139964.0,14486,41.2,Business,Adults / Professionals (25 to 45),Formal,No,0,299.55
e4d459a2,Single-Day,Afternoon,80.0,4.30008411136344,54.0,3.77257525083612,40.0,3.72388245033113,109625.0,34279,34.0,Music,Young Adults (18 to 30),High-Energy,No,1,21.05
e6c4b3e7,Multi-Day,Evening,55.0,4.01667238421955,27.0,3.90960451977401,40.0,3.95384615384615,79101.0,38317,39.3,Music,Young Adults (18 to 30),High-Energy,No,0,33.85
7c0584e7,Single-Day,Afternoon,80.0,4.46618556701031,44.0,3.53125,40.0,4.28359009866713,105428.0,71192,30.9,Hobbies,Adults / Professionals (25 to 45),Educational,No,1,129.71
9d17da46,Single-Day,Afternoon,80.0,4.32822515838457,40.0,3.82660256410256,40.0,4.34768441308531,121294.0,16398,31.8,Music,Young Adults (18 to 30),High-Energy,No,1,49.87
7a386f89,Single-Day,Afternoon,20.0,3.62155486450466,37.0,3.39387755102041,40.0,4.02564102564103,72326.0,52707,37.6,Community,Adults / Professionals (25 to 45),Relaxed,No,1,17.12
6f219eee,Multi-Day,Evening,75.0,4.29834343645485,44.0,3.10927419354839,40.0,4.38717992782265,92238.0,51961,33.7,Community,Adults / Professionals (25 to 45),Formal,Yes,1,49.19
c69b94d2,Multi-Day,Afternoon,25.0,3.88294179156501,32.0,3.83357664233577,40.0,4.60387096774194,58858.0,34459,34.2,Science & Tech,Adults / Professionals (25 to 45),Educational,No,0,499.0
c512a7dd,Single-Day,Afternoon,80.0,4.32822515838457,40.0,3.82660256410256,40.0,4.34768441308531,121294.0,16398,31.8,Community,Adults / Professionals (25 to 45),Relaxed,Yes,1,49.0
3fc92494,Multi-Day,Evening,80.0,4.40593294588359,40.0,3.82990654205607,40.0,4.10039676241866,126812.0,35247,38.3,"Auto, Boat & Air",Adults / Professionals (25 to 45),High-Energy,Yes,0,106.47
5ee200f7,Single-Day,Afternoon,80.0,4.32822515838457,40.0,3.82660256410256,40.0,4.34768441308531,121294.0,16398,31.8,Travel & Outdoor,Young Adults (18 to 30),High-Energy,No,1,49.87
f5ab2808,Single-Day,Afternoon,25.0,3.81403680182381,30.0,3.26153846153846,40.0,4.09148360932747,34177.0,49445,35.6,Community,Teens / High School Students,Formal,No,1,17.85
6ac6efc5,Single-Day,Evening,80.0,4.38699343951663,44.0,3.32347826086957,40.0,4.43511300360301,106277.0,42904,32.3,Food & Drink,Adults / Professionals (25 to 45),Relaxed,Yes,0,31.26
cc3478b3,Single-Day,Evening,80.0,4.46618556701031,44.0,3.53125,40.0,4.28359009866713,105428.0,71192,30.9,Performing & Visual Arts,Adults / Professionals (25 to 45),Educational,No,1,28.45
d3ca1459,Single-Day,Afternoon,80.0,4.40593294588359,40.0,3.82990654205607,40.0,4.10039676241866,126812.0,35247,38.3,Fashion,Teens / High School Students,Educational,No,1,135.23
11aa46d2,Single-Day,Evening,75.0,4.29834343645485,44.0,3.10927419354839,40.0,4.38717992782265,92238.0,51961,33.7,Fashion,unknown,unknown,No,1,44.52
a3037ded,Single-Day,Evening,74.0,4.57011259336331,35.0,3.58208955223881,40.0,4.66592224979322,97550.0,85685,32.7,Performing & Visual Arts,Young Adults (18 to 30),High-Energy,No,0,29.53
bc45eefb,Single-Day,Evening,34.0,4.07609680495947,29.0,4.50322580645161,40.0,4.22391423859263,56518.0,42780,34.7,Community,Young Adults (18 to 30),Relaxed,No,0,3.22
513fa11b,Single-Day,Evening,61.0,4.47159100171163,26.0,3.5628,40.0,4.4742061281337,100976.0,92235,35.4,Sports & Fitness,Young Adults (18 to 30),High-Energy,No,0,20.52
bdad4a7e,Single-Day,Afternoon,20.0,3.62155486450466,37.0,3.39387755102041,40.0,4.02564102564103,72326.0,52707,37.6,"Auto, Boat & Air",Young Adults (18 to 30),High-Energy,Yes,1,39.19
d3787524,Single-Day,Evening,74.0,4.57011259336331,35.0,3.58208955223881,40.0,4.66592224979322,97550.0,85685,32.7,Performing & Visual Arts,Young Adults (18 to 30),High-Energy,No,0,23.88
67b278c0,Single-Day,Afternoon,61.0,4.47159100171163,26.0,3.5628,40.0,4.4742061281337,100976.0,92235,35.4,Performing & Visual Arts,Adults / Professionals (25 to 45),Educational,No,1,71.21
553aed64,Single-Day,Night,50.0,4.05085461689587,26.0,2.97,40.0,4.5011214953271,79884.0,68968,37.3,Health,Adults / Professionals (25 to 45),Relaxed,No,0,30.0
71faf5ea,Single-Day,Evening,80.0,4.32822515838457,40.0,3.82660256410256,40.0,4.34768441308531,121294.0,16398,31.8,Music,Young Adults (18 to 30),High-Energy,No,1,81.88
b4cdf976,Single-Day,Evening,74.0,4.57011259336331,35.0,3.58208955223881,40.0,4.66592224979322,97550.0,85685,32.7,Performing & Visual Arts,Adults / Professionals (25 to 45),Relaxed,No,1,23.88
da37618c,Single-Day,Night,13.0,3.97828995297702,22.0,3.89061224489796,40.0,3.88498014482597,78625.0,14165,42.2,Community,Adults / Professionals (25 to 45),Educational,No,0,12.51
a2eaa15b,Single-Day,Evening,74.0,4.57011259336331,35.0,3.58208955223881,40.0,4.66592224979322,97550.0,85685,32.7,Performing & Visual Arts,Young Adults (18 to 30),High-Energy,No,0,23.18
2913a05b,Multi-Day,Night,7.0,4.09239742558327,5.0,3.53846153846154,40.0,3.94925373134328,60748.0,64295,37.7,Performing & Visual Arts,Young Adults (18 to 30),High-Energy,No,0,145.9
5c9c7abd,Single-Day,Evening,80.0,4.38699343951663,44.0,3.32347826086957,40.0,4.43511300360301,106277.0,42904,32.3,Food & Drink,Adults / Professionals (25 to 45),Relaxed,Yes,0,31.26
1623cdcf,Single-Day,Evening,80.0,4.38699343951663,44.0,3.32347826086957,40.0,4.43511300360301,106277.0,42904,32.3,Food & Drink,Young Adults (18 to 30),Relaxed,Yes,1,31.26
2dcabcb0,Single-Day,Evening,80.0,4.34321104510738,45.0,3.89415730337079,40.0,4.27742047026279,69397.0,67317,37.4,Food & Drink,Adults / Professionals (25 to 45),Relaxed,Yes,1,81.88
641fcaf1,Single-Day,Evening,80.0,4.32822515838457,40.0,3.82660256410256,40.0,4.34768441308531,121294.0,16398,31.8,Performing & Visual Arts,Adults / Professionals (25 to 45),Relaxed,No,1,25.5
223e0cc5,Single-Day,Evening,74.0,4.57011259336331,35.0,3.58208955223881,40.0,4.66592224979322,97550.0,85685,32.7,Performing & Visual Arts,Young Adults (18 to 30),High-Energy,No,0,12.33
c8d2b7a4,Single-Day,Night,74.0,4.57011259336331,35.0,3.58208955223881,40.0,4.66592224979322,97550.0,85685,32.7,Performing & Visual Arts,Young Adults (18 to 30),Relaxed,No,1,17.98
be50ce94,Single-Day,Evening,74.0,4.57011259336331,35.0,3.58208955223881,40.0,4.66592224979322,97550.0,85685,32.7,Performing & Visual Arts,Young Adults (18 to 30),High-Energy,No,0,17.98
51c8373b,Single-Day,Evening,80.0,4.46618556701031,44.0,3.53125,40.0,4.28359009866713,105428.0,71192,30.9,Performing & Visual Arts,unknown,unknown,No,0,28.52
25194696,Single-Day,Night,80.0,4.46618556701031,44.0,3.53125,40.0,4.28359009866713,105428.0,71192,30.9,Performing & Visual Arts,Adults / Professionals (25 to 45),High-Energy,No,1,23.18
7dcd00ee,Single-Day,Afternoon,49.0,4.45345785440613,25.0,3.31261261261261,40.0,4.68520848310568,66821.0,82749,34.1,Food & Drink,Young Adults (18 to 30),High-Energy,No,1,23.18
0b3254c5,Single-Day,Afternoon,52.0,4.19564832287134,37.0,3.38480392156863,40.0,4.15890783656415,103879.0,3277,33.2,Food & Drink,Young Adults (18 to 30),High-Energy,Yes,1,7.97
556586b3,Single-Day,Afternoon,52.0,4.19564832287134,37.0,3.38480392156863,40.0,4.15890783656415,103879.0,3277,33.2,Food & Drink,Families with Children,Relaxed,Yes,1,13.56
2e0b46a5,Multi-Day,Night,48.0,3.9201906779661,37.0,3.1831715210356,40.0,4.0812528370404,90455.0,29299,34.7,Music,Young Adults (18 to 30),High-Energy,No,0,35.01
b64b3e2d,Single-Day,Afternoon,29.0,4.21650789033525,26.0,3.67728813559322,40.0,4.3980463980464,58710.0,35302,34.7,Community,Families with Children,High-Energy,Yes,0,10.0
046ef5f5,Multi-Day,Night,48.0,3.9201906779661,37.0,3.1831715210356,40.0,4.0812528370404,90455.0,29299,34.7,Music,Young Adults (18 to 30),High-Energy,No,0,29.32
34f8277c,Single-Day,Afternoon,49.0,4.5162781327347,30.0,3.3125,40.0,4.56843313564186,120679.0,24493,38.3,Music,Young Adults (18 to 30),High-Energy,No,1,321.96
24f9cd9a,Multi-Day,Night,70.0,4.37247197038785,41.0,3.72727272727273,40.0,4.35115525352849,110208.0,8379,34.0,Music,Adults / Professionals (25 to 45),High-Energy,Yes,0,29.81
79f9589f,Single-Day,Afternoon,4.0,4.38839285714286,21.0,3.15714285714286,40.0,3.61278538812785,51424.0,15002,35.1,Performing & Visual Arts,unknown,unknown,No,1,33.47
f7bfba1e,Multi-Day,Night,38.0,4.42732688418867,40.0,3.49090909090909,40.0,4.38981652181547,70540.0,26263,32.1,Music,Young Adults (18 to 30),High-Energy,No,0,16.75
119b07f0,Single-Day,Afternoon,7.0,4.09239742558327,5.0,3.53846153846154,40.0,3.94925373134328,60748.0,64295,37.7,Spirituality,Adults / Professionals (25 to 45),Spiritual,No,1,71.21
d1515501,Multi-Day,Night,38.0,4.42732688418867,40.0,3.49090909090909,40.0,4.38981652181547,70540.0,26263,32.1,Music,Young Adults (18 to 30),High-Energy,No,0,16.75
e3ace330,Single-Day,Afternoon,69.0,4.19230548016608,45.0,3.86207524271845,40.0,4.14619458000208,64514.0,12119,21.8,Food & Drink,Young Adults (18 to 30),High-Energy,No,1,27.41
b55720ca,Multi-Day,Night,48.0,3.9201906779661,37.0,3.1831715210356,40.0,4.0812528370404,90455.0,29299,34.7,Music,Young Adults (18 to 30),High-Energy,No,1,35.01
4e3eeba4,Multi-Day,Evening,27.0,3.50435123480988,25.0,4.42633053221289,40.0,3.86809523809524,91135.0,33773,36.5,Music,Young Adults (18 to 30),High-Energy,No,0,12.51
330158e5,Single-Day,Evening,4.0,4.38839285714286,21.0,3.15714285714286,40.0,3.61278538812785,51424.0,15002,35.1,Performing & Visual Arts,Young Adults (18 to 30),High-Energy,No,0,25.0
9a19d3f1,Multi-Day,Night,42.0,3.93703070924782,34.0,2.67714285714286,40.0,3.94033613445378,45641.0,25847,36.0,Hobbies,Teens / High School Students,Educational,Yes,0,300.0
7bf5be74,Single-Day,Afternoon,0.0,0.0,15.0,3.0,40.0,3.8818858560794,69640.0,59559,30.6,Performing & Visual Arts,Families with Children,Relaxed,No,1,13.62
fbfa8026,Single-Day,Afternoon,0.0,0.0,15.0,3.0,40.0,3.8818858560794,69640.0,59559,30.6,Food & Drink,Adults / Professionals (25 to 45),Relaxed,No,1,64.8
a0cbf393,Single-Day,Afternoon,24.0,3.8655814282681,23.0,3.70206611570248,40.0,3.74492355938847,105260.0,30971,39.1,Food & Drink,Families with Children,Relaxed,Yes,1,19.4
1282b1f6,Multi-Day,Afternoon,80.0,4.21475997281545,42.0,3.6978021978022,40.0,3.95926420129623,-666666666.0,5974,22.0,Science & Tech,Young Adults (18 to 30),High-Energy,Yes,1,107.48
86148115,Multi-Day,Night,38.0,4.42732688418867,40.0,3.49090909090909,40.0,4.38981652181547,70540.0,26263,32.1,Music,Young Adults (18 to 30),High-Energy,No,1,24.05
50eb1f2b,Single-Day,Afternoon,48.0,3.9201906779661,37.0,3.1831715210356,40.0,4.0812528370404,90455.0,29299,34.7,Music,Young Adults (18 to 30),High-Energy,Yes,1,24.98
b419a64c,Single-Day,Night,70.0,4.37247197038785,41.0,3.72727272727273,40.0,4.35115525352849,110208.0,8379,34.0,Performing & Visual Arts,Adults / Professionals (25 to 45),High-Energy,No,1,23.18
1c94a847,Single-Day,Evening,6.0,3.89627659574468,21.0,5.0,40.0,4.8859375,46988.0,32935,41.2,Hobbies,Young Adults (18 to 30),Relaxed,Yes,1,34.18
a6b513bb,Single-Day,Afternoon,34.0,4.23209332895169,30.0,3.37671957671958,40.0,4.19061224489796,69912.0,25986,30.4,Performing & Visual Arts,unknown,Relaxed,No,1,13.51
f749d50d,Single-Day,Afternoon,80.0,4.21475997281545,42.0,3.6978021978022,40.0,3.95926420129623,-666666666.0,5974,22.0,Charity & Causes,Adults / Professionals (25 to 45),Professional,Yes,1,89.17
ec75540e,Single-Day,Evening,67.0,4.19116905759063,46.0,3.48707224334601,40.0,4.3449565679844,78429.0,23377,31.4,Fashion,Young Adults (18 to 30),High-Energy,Yes,1,76.54
4caca980,Single-Day,Evening,6.0,3.89627659574468,21.0,5.0,40.0,4.8859375,46988.0,32935,41.2,Performing & Visual Arts,Adults / Professionals (25 to 45),Relaxed,No,1,36.47
fe3da960,Single-Day,Evening,49.0,4.5162781327347,30.0,3.3125,40.0,4.56843313564186,120679.0,24493,38.3,Hobbies,Adults / Professionals (25 to 45),High-Energy,Yes,0,27.23
251de099,Single-Day,Evening,34.0,4.14359391965255,30.0,4.5,40.0,4.66315171441991,125720.0,17962,22.2,Spirituality,Adults / Professionals (25 to 45),Educational,No,0,40.25
72ff6aa0,Multi-Day,Afternoon,63.0,3.96878045335781,35.0,4.10545454545455,40.0,4.00317216679458,60971.0,35100,41.7,Community,Young Adults (18 to 30),High-Energy,No,0,160.83
afe4d0a8,Single-Day,Afternoon,20.0,4.24700294792008,24.0,4.0184,40.0,4.22960969044415,71348.0,25283,34.3,Music,Young Adults (18 to 30),Professional,No,1,60.12
dc7bbec0,Single-Day,Evening,40.0,4.07851896367521,28.0,3.81190965092402,40.0,4.07640027322404,52238.0,69064,32.4,Food & Drink,Adults / Professionals (25 to 45),High-Energy,No,1,40.07
6bb8fe25,Single-Day,Evening,80.0,4.25559173203098,45.0,3.990093708166,41.0,4.13154578902273,49226.0,37754,35.3,Music,Adults / Professionals (25 to 45),High-Energy,No,1,39.0
4e2ff123,Multi-Day,Night,33.0,4.22881667688535,30.0,4.08891509433962,40.0,3.74712643678161,65972.0,59410,38.8,Music,Adults / Professionals (25 to 45),Relaxed,No,1,11.64
